id,1A,1B,2
PV210981,NA-NA,NA-NA,NA-NA
PV210980,NA-NA,NA-NA,NA-NA
PV210979,NA-NA,NA-NA,NA-NA
PV210978,NA-NA,NA-NA,NA-NA
PV210977,NA-NA,NA-NA,NA-NA
PV210976,NA-NA,NA-NA,NA-NA
PV210975,NA-NA,NA-NA,NA-NA
PV210974,NA-NA,NA-NA,NA-NA
PV210973,NA-NA,NA-NA,NA-NA
PV210972,NA-NA,NA-NA,NA-NA
PV210971,NA-NA,NA-NA,NA-NA
PV210970,NA-NA,NA-NA,NA-NA
PV210969,NA-NA,NA-NA,NA-NA
PV088328,NA-NA,2314-3850,NA-NA
PQ541178,1-1815,1815-3264,NA-NA
PQ541169,NA-NA,1-3718,NA-NA
PQ150499,NA-NA,NA-NA,NA-NA
PQ805455,14-2307,2306-3820,NA-NA
PQ805454,12-2409,2408-3917,NA-NA
PQ805453,6-2433,2432-3941,NA-NA
PQ678099,NA-NA,0-798,NA-NA
PQ678098,8-2706,2705-4156,NA-NA
PQ678019,162-2335,2334-3992,NA-NA
PQ678011,NA-NA,2578-4144,NA-NA
PQ678009,31-2255,2254-3756,NA-NA
PQ678008,NA-NA,3435-4227,NA-NA
PQ678007,NA-NA,NA-NA,NA-NA
PQ792554,NA-NA,3070-4432,NA-NA
PQ792210,NA-NA,3566-6752,NA-NA
PQ792140,NA-NA,1642-2959,NA-NA
PQ791985,NA-NA,2807-4451,NA-NA
PQ622678,NA-NA,7899-10023,NA-NA
PQ622677,NA-NA,7896-10020,NA-NA
PL092591,NA-NA,NA-NA,NA-NA
PL092587,NA-NA,NA-NA,NA-NA
PL092404,NA-NA,NA-NA,NA-NA
PL092400,NA-NA,NA-NA,NA-NA
PL092217,NA-NA,NA-NA,NA-NA
PL092213,NA-NA,NA-NA,NA-NA
PQ615938,NA-NA,NA-NA,NA-NA
OR752625,NA-NA,2-362,NA-NA
OR752624,NA-NA,2-362,NA-NA
OR752623,NA-NA,2-362,NA-NA
OR752622,NA-NA,2-362,NA-NA
OR752621,NA-NA,2-362,NA-NA
OR752620,NA-NA,2-362,NA-NA
OR752619,NA-NA,2-362,NA-NA
OR752618,NA-NA,2-362,NA-NA
OR752617,NA-NA,2-362,NA-NA
OR752616,NA-NA,2-362,NA-NA
OR752615,NA-NA,2-362,NA-NA
OR752614,NA-NA,2-362,NA-NA
OR752613,NA-NA,2-362,NA-NA
OR752612,NA-NA,2-362,NA-NA
OR752611,NA-NA,2-362,NA-NA
OR752610,NA-NA,2-362,NA-NA
OR752609,NA-NA,2-362,NA-NA
OR752608,NA-NA,2-362,NA-NA
OR752607,NA-NA,2-362,NA-NA
OR752606,NA-NA,2-362,NA-NA
OR752605,NA-NA,2-362,NA-NA
OR752604,NA-NA,2-362,NA-NA
OR752603,NA-NA,2-362,NA-NA
OR752602,NA-NA,2-362,NA-NA
OR752601,NA-NA,2-362,NA-NA
OR752600,NA-NA,2-362,NA-NA
OR752599,NA-NA,2-362,NA-NA
OR752598,NA-NA,2-362,NA-NA
OR752597,NA-NA,2-362,NA-NA
OR752596,NA-NA,2-362,NA-NA
OR752595,NA-NA,2-362,NA-NA
OR752594,NA-NA,2-362,NA-NA
OR752593,NA-NA,2-362,NA-NA
OR752592,NA-NA,2-362,NA-NA
OR752591,NA-NA,2-362,NA-NA
OR752590,NA-NA,2-362,NA-NA
OR752589,NA-NA,2-362,NA-NA
OR752588,NA-NA,2-362,NA-NA
OR752587,NA-NA,2-362,NA-NA
OR752586,NA-NA,2-362,NA-NA
OR752585,NA-NA,2-362,NA-NA
OR752584,NA-NA,2-362,NA-NA
OR752583,NA-NA,2-362,NA-NA
OR752582,NA-NA,2-362,NA-NA
OR752581,NA-NA,2-362,NA-NA
OR752580,NA-NA,2-362,NA-NA
OR752579,NA-NA,2-362,NA-NA
OR752578,NA-NA,2-362,NA-NA
OR752577,NA-NA,2-362,NA-NA
OR752576,NA-NA,2-362,NA-NA
OR752575,NA-NA,2-362,NA-NA
OR752574,NA-NA,2-362,NA-NA
OR752573,NA-NA,2-362,NA-NA
OR752572,NA-NA,2-362,NA-NA
OR752571,NA-NA,2-362,NA-NA
OR752570,NA-NA,2-362,NA-NA
OR752569,NA-NA,2-362,NA-NA
OR752568,NA-NA,2-362,NA-NA
OR752567,NA-NA,2-362,NA-NA
OR752566,NA-NA,2-362,NA-NA
OR752565,NA-NA,2-362,NA-NA
OR752564,NA-NA,2-362,NA-NA
OR752563,NA-NA,2-362,NA-NA
OR752562,NA-NA,2-362,NA-NA
OR752561,NA-NA,2-362,NA-NA
OR752560,NA-NA,2-362,NA-NA
OR752559,NA-NA,2-362,NA-NA
OR752558,NA-NA,2-362,NA-NA
OR752557,NA-NA,2-362,NA-NA
OR752556,NA-NA,0-407,NA-NA
OR752555,NA-NA,0-407,NA-NA
OR752554,NA-NA,0-407,NA-NA
OR752553,NA-NA,0-407,NA-NA
OR752552,NA-NA,0-407,NA-NA
OR752551,NA-NA,0-407,NA-NA
OR752550,NA-NA,0-407,NA-NA
OR752549,NA-NA,0-407,NA-NA
OR752548,NA-NA,0-407,NA-NA
OR752547,NA-NA,0-407,NA-NA
OR752546,NA-NA,0-407,NA-NA
OR752545,NA-NA,0-407,NA-NA
OR752544,NA-NA,0-407,NA-NA
OR752543,NA-NA,0-407,NA-NA
OR752542,NA-NA,0-407,NA-NA
OR752541,NA-NA,0-383,NA-NA
OR752540,NA-NA,0-401,NA-NA
OR752539,NA-NA,0-383,NA-NA
OR752538,NA-NA,0-389,NA-NA
OR752537,NA-NA,0-383,NA-NA
OR752536,NA-NA,0-401,NA-NA
OR752535,NA-NA,0-383,NA-NA
OR752534,NA-NA,0-389,NA-NA
OR752533,NA-NA,0-389,NA-NA
OR752532,NA-NA,0-401,NA-NA
OR752531,NA-NA,0-383,NA-NA
OR752530,NA-NA,0-407,NA-NA
OR752529,NA-NA,0-407,NA-NA
OR752528,NA-NA,0-407,NA-NA
OR752527,NA-NA,0-389,NA-NA
OR752526,NA-NA,0-398,NA-NA
OR752525,NA-NA,0-398,NA-NA
OR752524,NA-NA,0-398,NA-NA
OR752523,NA-NA,0-398,NA-NA
OR752522,NA-NA,0-398,NA-NA
OR752521,NA-NA,0-383,NA-NA
OR752520,NA-NA,0-407,NA-NA
OR752519,NA-NA,0-407,NA-NA
OR752518,NA-NA,0-398,NA-NA
OR752517,NA-NA,0-389,NA-NA
OR752516,NA-NA,0-398,NA-NA
OR752515,NA-NA,0-410,NA-NA
OR752514,NA-NA,0-398,NA-NA
OR752513,NA-NA,0-398,NA-NA
OR752512,NA-NA,0-407,NA-NA
OR752511,NA-NA,0-401,NA-NA
OR752510,NA-NA,0-410,NA-NA
OR752509,NA-NA,0-389,NA-NA
OR752508,NA-NA,0-383,NA-NA
OR752507,NA-NA,0-410,NA-NA
OR752506,NA-NA,0-389,NA-NA
OR752505,NA-NA,0-407,NA-NA
OR752504,NA-NA,0-407,NA-NA
OR752503,NA-NA,0-398,NA-NA
OR752502,NA-NA,0-389,NA-NA
OR752501,NA-NA,0-383,NA-NA
OR752500,NA-NA,0-401,NA-NA
OR752499,NA-NA,0-383,NA-NA
OR752498,NA-NA,0-383,NA-NA
OR752497,NA-NA,0-407,NA-NA
OR752496,NA-NA,0-383,NA-NA
OR752495,NA-NA,0-383,NA-NA
OR752494,NA-NA,0-407,NA-NA
OR752493,NA-NA,0-389,NA-NA
OR752492,NA-NA,0-389,NA-NA
OR752491,NA-NA,0-383,NA-NA
OR752490,NA-NA,0-383,NA-NA
OR752489,NA-NA,0-407,NA-NA
OR752488,NA-NA,0-383,NA-NA
OR752487,NA-NA,0-401,NA-NA
OR752486,NA-NA,0-383,NA-NA
OR752485,NA-NA,0-389,NA-NA
PQ573797,NA-NA,NA-NA,NA-NA
PQ573796,NA-NA,NA-NA,NA-NA
OQ835730,NA-NA,2-4190,NA-NA
OQ835729,NA-NA,79-4303,NA-NA
PQ530056,NA-NA,NA-NA,NA-NA
PQ541070,NA-NA,0-253,NA-NA
PQ541069,NA-NA,NA-NA,NA-NA
PQ541068,NA-NA,NA-NA,NA-NA
PQ496878,NA-NA,0-415,NA-NA
PQ496877,NA-NA,0-376,NA-NA
PQ496876,NA-NA,0-376,NA-NA
PQ496875,NA-NA,0-338,NA-NA
PQ496874,NA-NA,0-376,NA-NA
PQ496873,NA-NA,0-338,NA-NA
PQ496872,NA-NA,0-338,NA-NA
PQ496871,NA-NA,0-338,NA-NA
PQ496870,NA-NA,0-338,NA-NA
PQ496869,NA-NA,0-376,NA-NA
PQ496868,NA-NA,0-376,NA-NA
PQ496867,NA-NA,NA-NA,NA-NA
PQ496866,NA-NA,NA-NA,NA-NA
PQ496865,NA-NA,NA-NA,NA-NA
PQ496864,NA-NA,NA-NA,NA-NA
PQ496863,NA-NA,NA-NA,NA-NA
PQ496862,NA-NA,NA-NA,NA-NA
PQ496861,NA-NA,NA-NA,NA-NA
PQ496860,NA-NA,NA-NA,NA-NA
PQ496859,NA-NA,NA-NA,NA-NA
PQ496858,NA-NA,NA-NA,NA-NA
PQ476025,NA-NA,NA-NA,NA-NA
PQ496891,2958-4443,NA-NA,NA-NA
PQ496890,2871-4356,NA-NA,NA-NA
LC849230,NA-NA,36-4266,NA-NA
LC849229,NA-NA,36-4266,NA-NA
LC849228,NA-NA,36-4266,NA-NA
PQ525428,NA-NA,2799-4347,NA-NA
PQ161557,NA-NA,NA-NA,NA-NA
LC810976,NA-NA,1-382,NA-NA
LC810975,NA-NA,1-382,NA-NA
LC810974,NA-NA,1-382,NA-NA
LC810973,NA-NA,1-382,NA-NA
LC810972,NA-NA,1-382,NA-NA
LC810971,NA-NA,1-382,NA-NA
LC810970,NA-NA,1-382,NA-NA
LC810969,NA-NA,1-382,NA-NA
LC810967,NA-NA,1-382,NA-NA
LC810966,NA-NA,1-382,NA-NA
LC810965,NA-NA,1-382,NA-NA
LC810964,NA-NA,1-382,NA-NA
LC810963,NA-NA,1-382,NA-NA
LC810962,NA-NA,1-382,NA-NA
LC810961,NA-NA,1-382,NA-NA
LC810960,NA-NA,1-382,NA-NA
LC810959,NA-NA,1-382,NA-NA
LC810958,NA-NA,1-382,NA-NA
LC810957,NA-NA,1-382,NA-NA
LC810956,NA-NA,1-382,NA-NA
LC810955,NA-NA,1-382,NA-NA
LC810954,NA-NA,1-382,NA-NA
LC810953,NA-NA,1-382,NA-NA
LC810952,NA-NA,1-382,NA-NA
LC810951,NA-NA,1-382,NA-NA
LC810950,NA-NA,1-382,NA-NA
LC810949,NA-NA,1-382,NA-NA
LC810948,NA-NA,1-382,NA-NA
LC810947,NA-NA,1-382,NA-NA
LC810946,NA-NA,1-382,NA-NA
LC810968,NA-NA,1-382,NA-NA
PQ055542,NA-NA,19-1243,NA-NA
PQ055541,NA-NA,5-1453,NA-NA
PQ055540,NA-NA,122-1555,NA-NA
PQ055539,NA-NA,1073-2684,NA-NA
PQ055538,NA-NA,2954-4265,NA-NA
PQ055537,NA-NA,1887-3489,NA-NA
PQ055536,NA-NA,2005-3565,NA-NA
PQ055535,NA-NA,2365-3979,NA-NA
PQ055534,NA-NA,848-2543,NA-NA
PQ055533,NA-NA,2151-3846,NA-NA
PQ055532,NA-NA,2495-3995,NA-NA
PQ055531,2081-5819,NA-NA,NA-NA
PQ055530,NA-NA,750-2526,NA-NA
PQ055529,NA-NA,4443-6219,NA-NA
PQ055528,NA-NA,2917-4876,NA-NA
PQ055527,23-6293,NA-NA,NA-NA
PQ055526,NA-NA,2682-4314,NA-NA
PQ055525,NA-NA,29-6623,NA-NA
PQ055524,NA-NA,3487-5317,NA-NA
PQ055523,65-4283,NA-NA,NA-NA
PQ055522,NA-NA,36-1293,NA-NA
PQ055521,3-1989,NA-NA,NA-NA
PP977475,NA-NA,0-403,NA-NA
PP977474,NA-NA,0-943,NA-NA
PP977473,NA-NA,1-944,NA-NA
PP977472,NA-NA,0-937,NA-NA
PP977471,NA-NA,0-943,NA-NA
PP977470,NA-NA,0-940,NA-NA
PP977469,NA-NA,0-937,NA-NA
PP977468,NA-NA,0-952,NA-NA
PP977467,NA-NA,2-938,NA-NA
PP977466,NA-NA,0-943,NA-NA
PP977465,NA-NA,0-939,NA-NA
PP977464,NA-NA,0-945,NA-NA
PP977463,NA-NA,0-945,NA-NA
PP977462,NA-NA,0-949,NA-NA
OR367608,178-2574,2573-4092,NA-NA
OR367604,1-894,894-2460,NA-NA
OR367602,77-2483,2482-3997,NA-NA
OR367599,0-690,NA-NA,NA-NA
OR367595,145-2434,2433-3954,NA-NA
OR367593,1-2332,2332-3741,NA-NA
OR367589,1-823,823-2008,NA-NA
OR367588,164-2570,2569-4078,NA-NA
OR367587,0-2484,2483-3992,NA-NA
OR367584,0-186,185-1231,NA-NA
OR367582,2-1814,1815-3328,NA-NA
OR367580,1-2008,2010-3527,NA-NA
OR367576,1-2202,2202-3717,NA-NA
OR367571,1-2421,2421-3999,NA-NA
OR367611,NA-NA,2542-3991,NA-NA
OR367610,NA-NA,1-865,NA-NA
OR367609,NA-NA,2269-3718,NA-NA
OR367607,NA-NA,2133-3468,NA-NA
OR367606,NA-NA,2669-4028,NA-NA
OR367603,NA-NA,540-1995,NA-NA
OR367601,NA-NA,2485-3934,NA-NA
OR367598,NA-NA,111-1560,NA-NA
OR367594,NA-NA,2573-4022,NA-NA
OR367570,NA-NA,0-936,NA-NA
PQ182548,2-1010,NA-NA,NA-NA
PP272729,NA-NA,NA-NA,NA-NA
PP272615,NA-NA,45-4275,NA-NA
PP272491,NA-NA,35-4265,NA-NA
PP272490,NA-NA,52-4282,NA-NA
PP272489,NA-NA,41-4271,NA-NA
PP272488,NA-NA,40-4270,NA-NA
PP272487,NA-NA,31-4261,NA-NA
PP272486,NA-NA,145-4375,NA-NA
PQ110289,NA-NA,NA-NA,NA-NA
PQ062282,23-2420,2419-3928,NA-NA
PQ062281,NA-NA,NA-NA,NA-NA
PQ062280,NA-NA,NA-NA,NA-NA
PQ062279,NA-NA,NA-NA,NA-NA
PQ062278,NA-NA,NA-NA,NA-NA
PQ106802,NA-NA,NA-NA,NA-NA
PP740881,NA-NA,0-339,NA-NA
PP740880,NA-NA,NA-NA,NA-NA
PQ038334,NA-NA,NA-NA,NA-NA
PQ038333,NA-NA,NA-NA,NA-NA
PQ038332,NA-NA,NA-NA,NA-NA
OM104033,NA-NA,253-3763,NA-NA
PP968017,97-2680,2679-4155,NA-NA
PP999617,NA-NA,NA-NA,NA-NA
PP999616,NA-NA,NA-NA,NA-NA
OR427988,NA-NA,NA-NA,NA-NA
OR427987,NA-NA,NA-NA,NA-NA
OR427986,NA-NA,NA-NA,NA-NA
OR427985,NA-NA,NA-NA,NA-NA
OR427984,NA-NA,0-469,NA-NA
OR427983,NA-NA,0-514,NA-NA
OR427982,NA-NA,0-361,NA-NA
OR427981,NA-NA,0-502,NA-NA
OR427980,NA-NA,0-478,NA-NA
OR427979,NA-NA,0-481,NA-NA
OR427978,NA-NA,0-493,NA-NA
PP976052,NA-NA,0-387,NA-NA
PP916236,NA-NA,2518-4078,NA-NA
PP901928,NA-NA,2872-4345,NA-NA
PP901927,NA-NA,2876-4349,NA-NA
PP901926,NA-NA,2791-4339,NA-NA
PP711211,NA-NA,1-418,NA-NA
PP711204,NA-NA,0-1025,NA-NA
PP711198,2-536,496-2047,NA-NA
PP711188,2-3119,3115-4630,NA-NA
PP590731,NA-NA,0-246,NA-NA
PP590744,0-3378,NA-NA,NA-NA
PP590743,NA-NA,NA-NA,NA-NA
PP590742,NA-NA,2-452,NA-NA
PP590741,NA-NA,NA-NA,NA-NA
PP590740,NA-NA,NA-NA,NA-NA
PP590730,NA-NA,0-1387,NA-NA
PP590729,NA-NA,0-1201,NA-NA
OP728001,NA-NA,2-362,NA-NA
OP728000,NA-NA,2-362,NA-NA
OP727999,NA-NA,2-362,NA-NA
OP727998,NA-NA,2-362,NA-NA
OP727997,NA-NA,2-386,NA-NA
ON653001,NA-NA,2-362,NA-NA
ON653000,NA-NA,2-362,NA-NA
ON652999,NA-NA,2-362,NA-NA
ON652998,NA-NA,2-362,NA-NA
ON652997,NA-NA,2-362,NA-NA
ON652996,NA-NA,2-308,NA-NA
ON652995,NA-NA,2-331,NA-NA
ON652994,NA-NA,2-362,NA-NA
ON652993,NA-NA,2-362,NA-NA
ON652992,NA-NA,2-362,NA-NA
ON652991,NA-NA,2-362,NA-NA
ON652990,NA-NA,2-362,NA-NA
ON652989,NA-NA,2-362,NA-NA
ON652988,NA-NA,2-362,NA-NA
ON652987,NA-NA,2-362,NA-NA
ON652986,NA-NA,2-362,NA-NA
PP711884,NA-NA,2186-3365,NA-NA
PP711883,NA-NA,3011-4109,NA-NA
PP711882,NA-NA,2827-4138,NA-NA
PP711881,NA-NA,2900-4130,NA-NA
PP711880,NA-NA,2849-4196,NA-NA
PP711879,NA-NA,2970-4143,NA-NA
PP711878,NA-NA,2951-4124,NA-NA
PP711877,NA-NA,2707-4108,NA-NA
PP711876,NA-NA,2565-4065,NA-NA
PP711875,NA-NA,2631-4131,NA-NA
PP711874,NA-NA,2633-4133,NA-NA
PP711873,NA-NA,2598-4131,NA-NA
PP711872,NA-NA,3039-4218,NA-NA
PP711871,NA-NA,0-1137,NA-NA
PP711870,NA-NA,2334-3081,NA-NA
PP711869,NA-NA,2807-3509,NA-NA
PP711868,NA-NA,1126-2041,NA-NA
PP711867,NA-NA,1910-2687,NA-NA
PP711866,NA-NA,0-561,NA-NA
PP711865,NA-NA,2787-3183,NA-NA
PP711864,NA-NA,3319-4207,NA-NA
PP711863,NA-NA,1523-3062,NA-NA
PP711862,NA-NA,2466-3651,NA-NA
PP711861,NA-NA,2-3728,NA-NA
PP711860,NA-NA,1-3889,NA-NA
PP711859,NA-NA,NA-NA,NA-NA
PP711858,NA-NA,2769-3942,NA-NA
PP711857,NA-NA,2769-3942,NA-NA
PP711856,NA-NA,2715-4080,NA-NA
PP711855,NA-NA,2981-4154,NA-NA
PP711854,NA-NA,3061-4030,NA-NA
PP711853,NA-NA,2984-4157,NA-NA
OQ236140,NA-NA,NA-NA,NA-NA
OQ236139,NA-NA,2587-4168,NA-NA
OQ236138,NA-NA,NA-NA,NA-NA
OQ236137,NA-NA,NA-NA,NA-NA
OQ236136,NA-NA,2823-4338,NA-NA
OQ236135,NA-NA,1163-2489,NA-NA
OQ236134,NA-NA,2066-3392,NA-NA
OQ236133,NA-NA,NA-NA,NA-NA
OQ236132,147-1005,NA-NA,NA-NA
OQ236131,NA-NA,2-596,NA-NA
OQ236130,NA-NA,2692-4249,NA-NA
OQ236129,NA-NA,2701-4255,NA-NA
OQ236128,NA-NA,2684-4256,NA-NA
OQ236127,NA-NA,NA-NA,NA-NA
OQ236126,NA-NA,2677-4222,NA-NA
OQ236125,NA-NA,1220-2777,NA-NA
OQ236124,NA-NA,2711-4265,NA-NA
OQ236123,NA-NA,2686-4249,NA-NA
OQ236122,NA-NA,1468-3013,NA-NA
OQ236121,NA-NA,2674-4219,NA-NA
OQ236157,NA-NA,2-1433,NA-NA
OQ236156,NA-NA,0-837,NA-NA
OQ236114,NA-NA,2636-4172,NA-NA
OQ236112,NA-NA,0-1329,NA-NA
OQ236111,NA-NA,NA-NA,NA-NA
OQ236110,NA-NA,NA-NA,NA-NA
PP700500,NA-NA,0-1587,NA-NA
PP700499,NA-NA,0-1371,NA-NA
PP700498,NA-NA,1-341,NA-NA
PP700497,NA-NA,0-695,NA-NA
PP700496,NA-NA,2-337,NA-NA
PP646881,23-2421,2420-3928,NA-NA
OQ758054,NA-NA,NA-NA,NA-NA
OQ758053,NA-NA,NA-NA,NA-NA
OQ758052,NA-NA,NA-NA,NA-NA
OQ758051,NA-NA,NA-NA,NA-NA
OQ758050,NA-NA,NA-NA,NA-NA
OQ758049,NA-NA,NA-NA,NA-NA
OQ758048,NA-NA,1-286,NA-NA
OQ758047,NA-NA,1-286,NA-NA
OQ758046,NA-NA,1-286,NA-NA
OQ758045,NA-NA,1-286,NA-NA
OQ758044,NA-NA,1-286,NA-NA
OQ758043,NA-NA,1-286,NA-NA
OQ758042,NA-NA,1-286,NA-NA
OQ758041,NA-NA,1-286,NA-NA
OQ758040,NA-NA,1-286,NA-NA
OQ758039,NA-NA,1-286,NA-NA
OQ758038,NA-NA,1-286,NA-NA
OQ758037,NA-NA,1-286,NA-NA
OQ758036,NA-NA,1-286,NA-NA
OQ758035,NA-NA,1-286,NA-NA
OQ758034,NA-NA,1-286,NA-NA
OQ758033,NA-NA,1-286,NA-NA
OQ758032,NA-NA,1-286,NA-NA
OQ758031,NA-NA,1-286,NA-NA
OQ758025,27-2424,2426-3932,NA-NA
PP531440,NA-NA,NA-NA,NA-NA
PP531439,NA-NA,NA-NA,NA-NA
PP531438,NA-NA,NA-NA,NA-NA
PP531437,NA-NA,NA-NA,NA-NA
PP531436,NA-NA,NA-NA,NA-NA
PP531435,NA-NA,NA-NA,NA-NA
PP531434,NA-NA,NA-NA,NA-NA
PP174209,NA-NA,1-1183,NA-NA
PP174201,NA-NA,0-1623,NA-NA
PP174197,NA-NA,66-1740,NA-NA
PP174176,NA-NA,0-1412,NA-NA
PP174162,NA-NA,2-657,NA-NA
PP174151,NA-NA,119-1331,NA-NA
PP174138,NA-NA,2-964,NA-NA
PP174099,NA-NA,0-1243,NA-NA
PP174094,NA-NA,1473-2415,NA-NA
PP174089,NA-NA,0-1119,NA-NA
PP174052,NA-NA,1584-3111,NA-NA
PP174037,NA-NA,1289-2801,NA-NA
PP174020,NA-NA,0-1140,NA-NA
PP173978,NA-NA,499-2164,NA-NA
PP173959,NA-NA,3292-6328,NA-NA
PP173952,NA-NA,1503-3006,NA-NA
PP173914,NA-NA,0-1243,NA-NA
PP173905,NA-NA,0-2812,NA-NA
PP173693,NA-NA,2-638,NA-NA
PP173657,NA-NA,28-6586,NA-NA
PP173621,NA-NA,0-1126,NA-NA
PP173619,NA-NA,0-1555,NA-NA
PP173590,NA-NA,1201-2742,NA-NA
PP173384,NA-NA,0-3202,NA-NA
PP173376,NA-NA,0-1553,NA-NA
PP173374,NA-NA,0-932,NA-NA
PP173284,NA-NA,1617-2832,NA-NA
PP173191,NA-NA,18-3111,NA-NA
PP173172,NA-NA,0-2141,NA-NA
PP173125,NA-NA,180-1545,NA-NA
PP172939,NA-NA,119-1556,NA-NA
PP172843,NA-NA,70-9073,NA-NA
PP172792,NA-NA,15-3120,NA-NA
PP172759,NA-NA,1-1248,NA-NA
