Accession,BioSample,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_036583,,Rodent astrovirus,Rodent astrovirus,Mamastrovirus,Astroviridae,,GX-006,6861,complete,China,China,Rattus norvegicus,,"To,K.K.W., Chan,W.M., Li,K.S.M., Lam,C.S.F., Chen,Z., Tse,H., Lau,S.K.P., Woo,P.C.Y., Yuen,K.Y.",,2018-01-13,ssRNA(+)
NC_035758,,Bastrovirus 7,Bastrovirus BAS-1,,Astroviridae,,,6339,complete,Netherlands,Netherlands,Homo sapiens,feces,"Oude Munnink,B.B., Cotten,M., Canuti,M., Deijs,M., Jebbink,M.F., van Hemert,F.J., Phan,M.V.T., Bakker,M., Jazaeri Farsani,S.M., Kellam,P., van der Hoek,L.",,2017-08-31,ssRNA(+)
NC_035471,,Bastrovirus/VietNam/Bat/16715_78,Bastrovirus BAS-2,,Astroviridae,,16715_78,5850,complete,Viet Nam,Viet Nam,Chiroptera,feces,"Oude Munnink,B.B., Phan,M.V.T., Kellam,P., van der Hoek,L., Cotten,M.",2014-06-17,2017-08-24,ssRNA(+)
NC_034974,,Mamastrovirus 2,Mamastrovirus felis,Mamastrovirus,Astroviridae,,K321,6347,complete,Kenya,Kenya,Sus scrofa,feces,"Amimo,J.O., Machuka,E.M., Abworo,E.O., Vlasova,A.N., Pelle,R., Njuguna,J.N., Djikeng,A.",2012-08,2017-06-13,ssRNA(+)
NC_034975,,California sea lion astrovirus 2,Mamastrovirus zalophi,Mamastrovirus,Astroviridae,,,3510,complete,USA,USA,Zalophus californianus,feces,"Rivera,R., Nollens,H.H., Venn-Watson,S., Gulland,F.M., Wellehan,J.F. Jr., Gulland,F.M.D., Wellehan,J.F.X. Jr.",2008,2017-06-13,ssRNA(+)
NC_034567,,Goose astrovirus,Goose astrovirus,Avastrovirus,Astroviridae,,FLX,7299,complete,China,China,Anser,"liver, abdominal cavity","Zhang,Y., Wang,F., Liu,N., Yang,L., Zhang,D.",2014-06-04,2017-05-15,ssRNA(+)
NC_033792,,Qinghai Himalayan marmot astrovirus 1,Qinghai Himalayan marmot astrovirus 1,Mamastrovirus,Astroviridae,,HHMAstV1,6712,complete,China,China,Marmota himalayana,liver,"Ao,Y., Yu,J., Li,L., Cao,J., Deng,H., Xin,Y., Liu,M., Lin,L., Lu,S., Xu,J., Duan,Z.",2014,2017-02-27,ssRNA(+)
NC_033821,,Qinghai Himalayan marmot astrovirus 2,Qinghai Himalayan marmot astrovirus 2,Mamastrovirus,Astroviridae,,HHMAstV2,6640,complete,China,China,Marmota himalayana,liver,"Ao,Y., Yu,J., Li,L., Cao,J., Deng,H., Xin,Y., Liu,M., Lin,L., Lu,S., Xu,J., Duan,Z.",2014,2017-02-27,ssRNA(+)
NC_032423,,Bastrovirus/VietNam/Porcine/17489_85,Bastrovirus/VietNam/Porcine/17489_85,,Astroviridae,,17489_85,6009,complete,Viet Nam,Viet Nam,Sus scrofa,feces,"Oude Munnink,B.B., Phan,M.V.T., Kellam,P., van der Hoek,L., Cotten,M.",2013-04-18,2016-12-29,ssRNA(+)
NC_032426,,Bastrovirus-like_virus/VietNam/Bat/17819_21,Bastrovirus-like_virus/VietNam/Bat/17819_21,,Astroviridae,,17819_21,5547,complete,Viet Nam,Viet Nam,Chiroptera,feces,"Oude Munnink,B.B., Phan,M.V.T., Kellam,P., van der Hoek,L., Cotten,M.",2014-11-12,2016-12-29,ssRNA(+)
NC_032484,,Bastrovirus/VietNam/Rat/16715_10,Bastrovirus BAS-3,,Astroviridae,,16715_10,5818,complete,Viet Nam,Viet Nam,Rattus,feces,"Oude Munnink,B.B., Phan,M.V.T., Kellam,P., van der Hoek,L., Cotten,M.",2014-11-12,2016-12-29,ssRNA(+)
NC_030922,,Mamastrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,V1347,6673,complete,India:Kolkata,India,,feces,"Bhattacharya,R., Sahoo,G.C., Nayak,M.K., Naik,T.N., Bhattacharya,S.K., Krishnan,T.",2004-09-02,2016-09-19,ssRNA(+)
NC_027711,,Dromedary astrovirus,Dromedary astrovirus,Mamastrovirus,Astroviridae,,DcAstV-274,6327,complete,United Arab Emirates,United Arab Emirates,Camelus dromedarius,,"Woo,P.C.Y., Lau,S.K.P., Teng,J.L.L., Tsang,A.K.L., Joseph,S., Xie,J., Jose,S., Fan,R.Y.Y., Wernery,U., Yuen,K.-Y.",2013-04-04,2015-08-18,ssRNA(+)
NC_027426,,Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,,Astroviridae,,,7025,complete,Hungary,Hungary,Coracias garrulus,feces,"Pankovics,P., Boros,A., Kiss,T., Delwart,E., Reuter,G.",2011-07,2015-06-29,ssRNA(+)
NC_026814,,Canine astrovirus,Canine astrovirus,Mamastrovirus,Astroviridae,,,6617,complete,United Kingdom,United Kingdom,,,"Caddy,S.L., Goodfellow,I.",2012-08,2015-04-16,ssRNA(+)
NC_025346,,Rabbit astrovirus TN/2208/2010,Rabbit astrovirus TN/2208/2010,Mamastrovirus,Astroviridae,,TN rabbit 10-2208,7353,complete,USA,USA,Oryctolagus cuniculus,,"Stenglein,M.D., Velazquez,E., Greenacre,C., Wilkes,R.P., Ruby,J.G., Lankton,J.S., Ganem,D., Kennedy,M.A., Derisi,J.L., Wilkes,R., DeRisi,J.L.",2010-06-04,2014-10-27,ssRNA(+)
NC_025379,,Mamastrovirus 3,Mamastrovirus suis,Mamastrovirus,Astroviridae,,PAstV-GX1,6705,complete,China: Guangxi,China,Sus scrofa,,"Liu,H., Qin,Y., Huang,W.",2013,2014-10-27,ssRNA(+)
NC_024701,,Feline astrovirus D1,Mamastrovirus felis,Mamastrovirus,Astroviridae,,FAstV-D1,6598,complete,USA,USA,Felis catus,feces,"Zhang,W., Li,L., Deng,X., Kapusinszky,B., Pesavento,P.A., Delwart,E.",2013-10,2014-08-21,ssRNA(+)
NC_024498,,Bovine astrovirus CH13,Bovine astrovirus CH13,,Astroviridae,,CH13,6530,complete,Switzerland,Switzerland,Bos taurus,brain,"Bouzalas,I.G., Wuthrich,D., Walland,J., Drogemuller,C., Zurbriggen,A., Vandevelde,M., Oevermann,A., Bruggmann,R., Seuberlich,T., Wuethrich,D., Droegemueller,C.",2012-03,2014-07-24,ssRNA(+)
NC_024472,,Human astrovirus BF34,Burkina Faso astrovirus,Mamastrovirus,Astroviridae,,,6577,complete,Burkina Faso,Burkina Faso,Homo sapiens,feces,"Phan,T.G., Nordgren,J., Ouermi,D., Simpore,J., Nitiema,L.W., Deng,X., Delwart,E.",2010,2014-07-14,ssRNA(+)
NC_024297,,Bovine astrovirus,Bovine astrovirus,Mamastrovirus,Astroviridae,,,6233,complete,China,China,Bos taurus,,"Huang,W.-J., Niyokwishimira,A., Chen,Y., Wei,Z., Liu,H.",2014-01,2014-06-13,ssRNA(+)
NC_023674,,Porcine astrovirus 2,Porcine astrovirus 2,Mamastrovirus,Astroviridae,,,6318,complete,USA,USA,Sus scrofa,feces,"Shan,T., Li,L., Simmonds,P., Wang,C., Moeser,A., Delwart,E.",2010,2014-03-07,ssRNA(+)
NC_023675,,Porcine astrovirus 4,Porcine astrovirus 4,Mamastrovirus,Astroviridae,,,6639,complete,USA,USA,Sus scrofa,feces,"Shan,T., Li,L., Simmonds,P., Wang,C., Moeser,A., Delwart,E.",2010,2014-03-07,ssRNA(+)
NC_023636,,Porcine astrovirus 5,Porcine astrovirus 5,,Astroviridae,,AstV5-US-IA122,6500,complete,USA,USA,Sus scrofa,feces,"Xiao,C.T., Gimenez-Lirola,L.G., Gerber,P.F., Jiang,Y.H., Halbur,P.G., Opriessnig,T.",2011-06-23,2014-03-06,ssRNA(+)
NC_023629,,Bovine astrovirus B76/HK,Bovine astrovirus B76/HK,Mamastrovirus,Astroviridae,,,6253,complete,Hong Kong,Hong Kong,Bos taurus,,"Tse,H., Chan,W.M., Tsoi,H.W., Fan,R.Y., Lau,C.C., Lau,S.K., Woo,P.C., Yuen,K.Y., Chan,W.-M., Tsoi,H.-W., Woo,P.C.Y., Lau,S.K.P., Yuen,K.-Y.",,2014-03-04,ssRNA(+)
NC_023630,,Bovine astrovirus B76-2/HK,Bovine astrovirus B76-2/HK,Mamastrovirus,Astroviridae,,,6301,complete,Hong Kong,Hong Kong,Bos taurus,,"Tse,H., Chan,W.M., Tsoi,H.W., Fan,R.Y., Lau,C.C., Lau,S.K., Woo,P.C., Yuen,K.Y., Chan,W.-M., Tsoi,H.-W., Woo,P.C.Y., Lau,S.K.P., Yuen,K.-Y.",,2014-03-04,ssRNA(+)
NC_023631,,Bovine astrovirus B18/HK,Bovine astrovirus B18/HK,Mamastrovirus,Astroviridae,,,6300,complete,Hong Kong,Hong Kong,Bos taurus,,"Tse,H., Chan,W.M., Tsoi,H.W., Fan,R.Y., Lau,C.C., Lau,S.K., Woo,P.C., Yuen,K.Y., Chan,W.-M., Tsoi,H.-W., Woo,P.C.Y., Lau,S.K.P., Yuen,K.-Y.",,2014-03-04,ssRNA(+)
NC_023632,,Bovine astrovirus B170/HK,Bovine astrovirus B170/HK,Mamastrovirus,Astroviridae,,,6317,complete,Hong Kong,Hong Kong,Bos taurus,,"Tse,H., Chan,W.M., Tsoi,H.W., Fan,R.Y., Lau,C.C., Lau,S.K., Woo,P.C., Yuen,K.Y., Chan,W.-M., Tsoi,H.-W., Woo,P.C.Y., Lau,S.K.P., Yuen,K.-Y.",,2014-03-04,ssRNA(+)
NC_022249,,Feline astrovirus 2,Feline astrovirus 2,Mamastrovirus,Astroviridae,,,6795,complete,Hong Kong,Hong Kong,Felis catus,,"Lau,S.K., Woo,P.C., Yip,C.C., Bai,R., Wu,Y., Tse,H., Yuen,K.Y., Lau,S., Woo,P., Yip,C., Yuen,K.",2012-03-01,2013-09-04,ssRNA(+)
NC_019494,,Porcine astrovirus 3,Porcine astrovirus 3,Mamastrovirus,Astroviridae,,US-MO123,6460,complete,USA,USA,Sus scrofa,feces,"Xiao,C.T., Gimenez-Lirola,L.G., Gerber,P.F., Jiang,Y.H., Halbur,P.G., Opriessnig,T.",2011-06-24,2012-11-21,ssRNA(+)
NC_019026,,Astrovirus VA3,Astrovirus VA3,,Astroviridae,,VA3/human/Vellore/28054/2005,6581,complete,India,India,Homo sapiens,feces,"Jiang,H., Holtz,L.R., Bauer,I., Franz,C.J., Zhao,G., Bodhidatta,L., Shrestha,S.K., Kang,G., Wang,D.",2005,2012-10-31,ssRNA(+)
NC_019027,,Astrovirus VA4,Astrovirus VA4,,Astroviridae,,VA4/human/Nepal/S5363/2008,6518,complete,Nepal,Nepal,Homo sapiens,feces,"Jiang,H., Holtz,L.R., Bauer,I., Franz,C.J., Zhao,G., Bodhidatta,L., Shrestha,S.K., Kang,G., Wang,D.",2008,2012-10-31,ssRNA(+)
NC_019028,,Astrovirus MLB3,Astrovirus MLB3,,Astroviridae,,MLB3/human/Vellore/26564/2004,6124,complete,India,India,Homo sapiens,feces,"Jiang,H., Holtz,L.R., Bauer,I., Franz,C.J., Zhao,G., Bodhidatta,L., Shrestha,S.K., Kang,G., Wang,D.",2004,2012-10-31,ssRNA(+)
NC_018702,,Murine astrovirus,Murine astrovirus,,Astroviridae,,,6838,complete,USA,USA,,,"Yokoyama,C.C., Loh,J., Zhao,G., Stappenbeck,T.S., Wang,D., Huang,H.V., Virgin,H.W., Thackray,L.B.",2011-01,2012-10-02,ssRNA(+)
NC_016155,,Astrovirus MLB2,Astrovirus MLB2,,Astroviridae,,MLB2/human/Stl/WD0559/2008,6119,complete,USA,USA,Homo sapiens,feces,"Holtz,L.R., Wylie,K.M., Sodergren,E., Jiang,Y., Franz,C.J., Weinstock,G.M., Storch,G.A., Wang,D.",2008,2012-03-12,ssRNA(+)
NC_016896,,Astrovirus wild boar/WBAstV-1/2011/HUN,Astrovirus wild boar/WBAstV-1/2011/HUN,Mamastrovirus,Astroviridae,,,6707,complete,Hungary,Hungary,Sus scrofa,feces,"Reuter,G., Nemes,C., Boros,A., Kapusinszky,B., Delwart,E., Pankovics,P.",2011-04,2012-02-27,ssRNA(+)
NC_015935,,Mouse astrovirus M-52/USA/2008,Mouse astrovirus M-52/USA/2008,,Astroviridae,,,6543,complete,USA,USA,Mus musculus,feces,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.",2008,2011-09-02,ssRNA(+)
NC_013443,,HMO Astrovirus A,HMO Astrovirus A,Mamastrovirus,Astroviridae,,NI-295,6534,complete,Nigeria,Nigeria,Homo sapiens,feces,"Kapoor,A., Li,L., Victoria,J., Oderinde,B., Mason,C., Pandey,P., Zaidi,S.Z., Delwart,E.",2007-03-21,2009-10-28,ssRNA(+)
NC_013060,,Astrovirus VA1,Mamastrovirus virginiaense,Mamastrovirus,Astroviridae,,VA1,6586,complete,USA,USA,Homo sapiens,feces,"Finkbeiner,S.R., Li,Y., Ruone,S., Conrardy,C., Gregoricus,N., Toney,D., Virgin,H.W., Anderson,L.J., Vinje,J., Wang,D., Tong,S.",2008-08,2009-08-05,ssRNA(+)
NC_012437,,Duck astrovirus C-NGB,Duck astrovirus GII.A,Avastrovirus,Astroviridae,,,7722,complete,China,China,Anatidae,"liver, abdominal cavity","Fu,Y., Pan,M., Wang,X., Xu,Y., Xie,X., Knowles,N.J., Yang,H., Zhang,D.",2008-07-09,2009-03-25,ssRNA(+)
NC_011400,,Astrovirus MLB1,Mamastrovirus melbournense,Mamastrovirus,Astroviridae,,MLB1,6171,complete,Australia,Australia,,feces,"Finkbeiner,S.R., Kirkwood,C.D., Wang,D.",1999-10-06,2008-10-22,ssRNA(+)
NC_005790,,Turkey astrovirus 2,Avastrovirus intestini,Avastrovirus,Astroviridae,,,7355,complete,,,,,"Koci,M.D., Seal,B.S., Schultz-Cherry,S.",,2004-03-08,ssRNA(+)
NC_004579,,Mamastrovirus 10,Mamastrovirus mustelae,Mamastrovirus,Astroviridae,,,6610,complete,,,,,"Mittelholzer,C., Hedlund,K.O., Englund,L., Dietz,H.H., Svensson,L.",,2003-03-06,ssRNA(+)
NC_003790,,Chicken astrovirus,Chicken astrovirus,Avastrovirus,Astroviridae,Avian nephritis virus 1,,6927,complete,,,,,"Imada,T., Yamaguchi,S., Mase,M., Tsukamoto,K., Kubo,M., Morooka,A.",,2000-03-22,ssRNA(+)
NC_002469,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,"provided by Dr. D.R. Snodgrass, Moredun Research Institute, Edinburgh",6440,complete,,,Ovis aries,,"Jonassen,C.M., Jonassen T,T.O., Sveen,T.M., Grinde,B., Jonassen,T.O., Saif,Y.M., Snodgrass,D.R., Ushijima,H., Shimizu,M.",,1997-12-19,ssRNA(+)
NC_002470,,Turkey astrovirus,Turkey astrovirus,Avastrovirus,Astroviridae,,"provided by Dr. Y.M. Saif, Ohio State University",7003,complete,,,Meleagris gallopavo,,"Jonassen,C.M., Jonassen T,T.O., Sveen,T.M., Grinde,B., Jonassen,T.O., Saif,Y.M., Snodgrass,D.R., Ushijima,H., Shimizu,M., Jonassen,T., Sveen,T., Saif,Y.",,1997-12-19,ssRNA(+)
NC_001943,,Human astrovirus,Human astrovirus,,Astroviridae,,,6813,complete,,,,,"Geigenmuller,U., Chew,T., Ginzton,N., Matsui,S.M., Bass,D.M., Qiu,S., Willcocks,M.M., Brown,T.D., Madeley,C.R., Carter,M.J., Willcocks,M.",,1993-11-01,ssRNA(+)
PV975262,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,sheep/HA22106,6250,partial,China,China,Ovis aries,,"Mao,L., Ran,H.",2025-03-01,2025-08-17,ssRNA(+)
PV975263,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,sheep/HA6,6411,partial,China,China,Ovis aries,,"Mao,L., Ran,H.",2025-03-01,2025-08-17,ssRNA(+)
PX113251,SAMN49802490,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,MAYQ/720,6309,partial,China: Inner Mongolia,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PX113252,SAMN49802508,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,XWWT/20633,6373,partial,China: Xinjiang,China,Camelus bactrianus,,"Zhou,X., Li,J.",2024,2025-08-17,ssRNA(+)
PX113253,SAMN49802497,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,QXDL/78513,6374,partial,China: Qinghai,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PX113254,SAMN49802499,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,GCSW/7354,1296,partial,China: Gansu,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PX113255,SAMN49802499,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,GCSW/74274,1008,partial,China: Gansu,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PX113256,SAMN49802499,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,GCSW/14487,691,partial,China: Gansu,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PX113257,SAMN49802499,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,GCSW/14487,749,partial,China: Gansu,China,Camelus bactrianus,,"Zhou,X., Li,J.",2023,2025-08-17,ssRNA(+)
PV067282,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,PO144-ITA,368,partial,Italy,Italy,Homo sapiens,saline water body,"Amoroso,M.G., Monini,M., Di Bartolo,I.",2022-04,2025-08-11,ssRNA(+)
PV999255,,Fox astrovirus,Fox astrovirus,,Astroviridae,,Pl1.1,1072,partial,Italy,Italy,Vulpes vulpes,feces,"Forzan,M., Cingottini,D., Sgorbini,M., Mazzei,M., Pacini,M.I.",2021,2025-08-10,ssRNA(+)
PV999256,,Fox astrovirus,Fox astrovirus,,Astroviridae,,Pl1.2,358,partial,Italy,Italy,Vulpes vulpes,feces,"Forzan,M., Cingottini,D., Sgorbini,M., Mazzei,M., Pacini,M.I.",2021,2025-08-10,ssRNA(+)
PV999257,,Fox astrovirus,Fox astrovirus,,Astroviridae,,Pl1.3,1296,partial,Italy,Italy,Vulpes vulpes,feces,"Forzan,M., Cingottini,D., Sgorbini,M., Mazzei,M., Pacini,M.I.",2021,2025-08-10,ssRNA(+)
PV999258,,Fox astrovirus,Fox astrovirus,,Astroviridae,,Pl1.4,1530,partial,Italy,Italy,Vulpes vulpes,feces,"Forzan,M., Cingottini,D., Sgorbini,M., Mazzei,M., Pacini,M.I.",2021,2025-08-10,ssRNA(+)
PV999259,,Fox astrovirus,Fox astrovirus,,Astroviridae,,Pl1.5,132,partial,Italy,Italy,Vulpes vulpes,feces,"Forzan,M., Cingottini,D., Sgorbini,M., Mazzei,M., Pacini,M.I.",2021,2025-08-10,ssRNA(+)
PV979747,,Wenzhou rodent astrovirus 1,Wenzhou rodent astrovirus 1,,Astroviridae,,K8f_52_Astrovirus_shrew_240620,4302,partial,China:Hainan,China,,,"Huangfu,H.",2024-06-20,2025-08-06,ssRNA(+)
PV979748,,Astroviridae sp.,Astroviridae sp.,,Astroviridae,,Rhabdo_Mix_4_123_Astrovirus_shrew_240620,6233,partial,China:Hainan,China,,,"Huangfu,H.",2024-06-20,2025-08-06,ssRNA(+)
PV987765,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,,6280,partial,China,China,Ovis aries,,"Mao,L., Ran,H.",2025-03-01,2025-08-03,ssRNA(+)
PP980339,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23Q45,3043,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980340,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23Q47,3117,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980341,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23Q48,3043,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980342,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23Q50,3043,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980343,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23D80,3023,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980344,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/23D104,6471,complete,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2023,2025-08-01,ssRNA(+)
PP980345,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22Q14,3043,partial,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980346,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22D15-6,3054,partial,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980347,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22D16-1,3043,partial,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980348,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22D17-1,3053,partial,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980349,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22Q69-2,3037,partial,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980350,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22D67,6509,complete,South Korea,South Korea,Canis lupus familiaris,"feces, abdominal cavity","Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PP980351,,Mamastrovirus 5,Mamastrovirus canis,Mamastrovirus,Astroviridae,,JBN/22D127-1,3058,partial,South Korea,South Korea,Canis lupus familiaris,feces,"Chae,S.-B., Oem,J.-K.",2022,2025-08-01,ssRNA(+)
PV972762,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,Ferri_01_N_ORF2_ASTV_GOAT_MILK_O,460,partial,Italy,Italy,Capra hircus,,"Ferri,G.",2025-03-25,2025-07-30,ssRNA(+)
PV972763,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,Ferri_02_N_ORF2_ASTV_GOAT_MILK_BG1,257,partial,Italy,Italy,Capra hircus,,"Ferri,G.",2025-04-24,2025-07-30,ssRNA(+)
PV972764,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,Ferri_03_N_ORF2_ASTV_GOAT_MILK_BG2,400,partial,Italy,Italy,Capra hircus,,"Ferri,G.",2025-04-24,2025-07-30,ssRNA(+)
PV972765,,Mamastrovirus 13,Mamastrovirus ovis,Mamastrovirus,Astroviridae,,Ferri_04_N_ORF2_ASTV_GOAT_MILK_BG3,360,partial,Italy,Italy,Capra hircus,,"Ferri,G.",2025-04-24,2025-07-30,ssRNA(+)
