Accession,Description,Length,Part_1,Part_2,Part_3
PX095750.1,"11. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav ORF1ab polyprotein gene, partial cds; and ORF1ab polyprotein and capsid protein genes, complete cds","7,452 bp linear RNA","11. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav ORF1ab polyprotein gene, partial cds"," and ORF1ab polyprotein and capsid protein genes, complete cds",
PX095749.1,"12. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-4 nonstructural protein NSP1a gene, partial cds; and RNA-dependent RNA polymerase and capsid protein genes, complete cds","7,018 bp linear RNA","12. MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav-4 nonstructural protein NSP1a gene, partial cds"," and RNA-dependent RNA polymerase and capsid protein genes, complete cds",
PX095698.1,"13. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-3 ORF1b gene, partial cds; and ORF2 gene, complete cds","3,008 bp linear RNA","13. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-3 ORF1b gene, partial cds"," and ORF2 gene, complete cds",
PX095697.1,"14. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-1 RNA-dependent RNA polymerase gene, partial cds",677 bp linear RNA,"14. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-1 RNA-dependent RNA polymerase gene, partial cds",,
PX095696.1,"15. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-2 RNA polymerase-like gene, partial sequence",694 bp linear RNA,"15. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav-2 RNA polymerase-like gene, partial sequence",,
PX095695.1,"16. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav ORF1b-like gene, partial sequence; and ORF1a gene, partial cds","2,862 bp linear RNA","16. MAG: Avastrovirus sp. isolate DLH/A.anser/Aav ORF1b-like gene, partial sequence"," and ORF1a gene, partial cds",
PX113257.1,"17. Mamastrovirus sp. isolate GCSW/14487 ORF2-like gene, partial sequence",749 bp linear RNA,"17. Mamastrovirus sp. isolate GCSW/14487 ORF2-like gene, partial sequence",,
PX113256.1,"18. Mamastrovirus sp. isolate GCSW/14487 ORF2 gene, partial cds",691 bp linear RNA,"18. Mamastrovirus sp. isolate GCSW/14487 ORF2 gene, partial cds",,
PX113255.1,"19. Mamastrovirus sp. isolate GCSW/74274 ORF1a-like gene, partial sequence","1,008 bp linear RNA","19. Mamastrovirus sp. isolate GCSW/74274 ORF1a-like gene, partial sequence",,
PX113254.1,"20. Mamastrovirus sp. isolate GCSW/7354 polyprotein gene, partial cds","1,296 bp linear RNA","20. Mamastrovirus sp. isolate GCSW/7354 polyprotein gene, partial cds",,
PX113253.1,"21. Mamastrovirus sp. isolate QXDL/78513 ORF1a and ORF1ab genes, complete cds; and ORF2 gene, partial cds","6,374 bp linear RNA","21. Mamastrovirus sp. isolate QXDL/78513 ORF1a and ORF1ab genes, complete cds"," and ORF2 gene, partial cds",
PX113252.1,"22. Mamastrovirus sp. isolate XWWT/20633 ORF1a gene, partial cds; ORF1ab-like gene, partial sequence; and ORF2 gene, complete cds","6,373 bp linear RNA","22. Mamastrovirus sp. isolate XWWT/20633 ORF1a gene, partial cds"," ORF1ab-like gene, partial sequence"," and ORF2 gene, complete cds"
PX113251.1,"23. Mamastrovirus sp. isolate MAYQ/720 ORF1ab-like gene, complete sequence; and ORF1a and ORF2 genes, complete cds","6,309 bp linear RNA","23. Mamastrovirus sp. isolate MAYQ/720 ORF1ab-like gene, complete sequence"," and ORF1a and ORF2 genes, complete cds",
PV067282.1,"24. Human astrovirus 1 isolate PO144-ITA capsid protein gene, partial cds",368 bp linear RNA,"24. Human astrovirus 1 isolate PO144-ITA capsid protein gene, partial cds",,
PV999259.1,"25. Fox astrovirus isolate Pl1.5 capsid protein precursor (ORF2) gene, partial cds",132 bp linear RNA,"25. Fox astrovirus isolate Pl1.5 capsid protein precursor (ORF2) gene, partial cds",,
PV999258.1,"26. Fox astrovirus isolate Pl1.4 non-structural polyprotein (ORF1ab) and capsid protein precursor (ORF2) genes, partial cds","1,530 bp linear RNA","26. Fox astrovirus isolate Pl1.4 non-structural polyprotein (ORF1ab) and capsid protein precursor (ORF2) genes, partial cds",,
PV999257.1,"27. Fox astrovirus isolate Pl1.3 RNA-dependent RNA polymerase (ORF1a ORF1b) gene, partial cds","1,296 bp linear RNA","27. Fox astrovirus isolate Pl1.3 RNA-dependent RNA polymerase (ORF1a ORF1b) gene, partial cds",,
PV999256.1,"28. Fox astrovirus isolate Pl1.2 RNA-dependent RNA polymerase (ORF1b) and capsid protein (ORF2) genes, partial cds",358 bp linear RNA,"28. Fox astrovirus isolate Pl1.2 RNA-dependent RNA polymerase (ORF1b) and capsid protein (ORF2) genes, partial cds",,
PV999255.1,"29. Fox astrovirus isolate Pl1.1 non-structural polyprotein (ORF1a) and RNA-dependent RNA polymerase (ORF1b) genes, partial cds","1,072 bp linear RNA","29. Fox astrovirus isolate Pl1.1 non-structural polyprotein (ORF1a) and RNA-dependent RNA polymerase (ORF1b) genes, partial cds",,
PV979748.1,"30. Astroviridae sp. isolate Rhabdo_Mix_4_123_Astrovirus_shrew_240620 hypothetical protein, non-structural polyprotein 1AB, and non-structural polyprotein 1A genes, complete cds","6,233 bp linear RNA","30. Astroviridae sp. isolate Rhabdo_Mix_4_123_Astrovirus_shrew_240620 hypothetical protein, non-structural polyprotein 1AB, and non-structural polyprotein 1A genes, complete cds",,
PV979747.1,"31. Wenzhou rodent astrovirus 1 isolate K8f_52_Astrovirus_shrew_240620 ORF1ab protein and ORF1a protein genes, complete cds; and ORF2 protein gene, partial cds","4,302 bp linear RNA","31. Wenzhou rodent astrovirus 1 isolate K8f_52_Astrovirus_shrew_240620 ORF1ab protein and ORF1a protein genes, complete cds"," and ORF2 protein gene, partial cds",
PV987765.1,"32. Mamastrovirus 13 strain sheep/XY2210-4 nonstructural protein nsp1ab, nonstructural protein nsp1a, and capsid protein mRNAs, complete cds","6,280 bp linear mRNA","32. Mamastrovirus 13 strain sheep/XY2210-4 nonstructural protein nsp1ab, nonstructural protein nsp1a, and capsid protein mRNAs, complete cds",,
PP980351.1,"33. Mamastrovirus 5 isolate JBN/22D127-1 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,058 bp linear RNA","33. Mamastrovirus 5 isolate JBN/22D127-1 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980350.1,"34. Mamastrovirus 5 isolate JBN/22D67, complete genome","6,509 bp linear RNA","34. Mamastrovirus 5 isolate JBN/22D67, complete genome",,
PP980349.1,"35. Mamastrovirus 5 isolate JBN/22Q69-2 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,037 bp linear RNA","35. Mamastrovirus 5 isolate JBN/22Q69-2 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980348.1,"36. Mamastrovirus 5 isolate JBN/22D17-1 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,053 bp linear RNA","36. Mamastrovirus 5 isolate JBN/22D17-1 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980347.1,"37. Mamastrovirus 5 isolate JBN/22D16-1 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,043 bp linear RNA","37. Mamastrovirus 5 isolate JBN/22D16-1 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980346.1,"38. Mamastrovirus 5 isolate JBN/22D15-6 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,054 bp linear RNA","38. Mamastrovirus 5 isolate JBN/22D15-6 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980345.1,"39. Mamastrovirus 5 isolate JBN/22Q14 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,043 bp linear RNA","39. Mamastrovirus 5 isolate JBN/22Q14 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980344.1,"40. Mamastrovirus 5 isolate JBN/23D104, complete genome","6,471 bp linear RNA","40. Mamastrovirus 5 isolate JBN/23D104, complete genome",,
PP980343.1,"41. Mamastrovirus 5 isolate JBN/23D80 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,023 bp linear RNA","41. Mamastrovirus 5 isolate JBN/23D80 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980342.1,"42. Mamastrovirus 5 isolate JBN/23Q50 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,043 bp linear RNA","42. Mamastrovirus 5 isolate JBN/23Q50 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980341.1,"43. Mamastrovirus 5 isolate JBN/23Q48 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,043 bp linear RNA","43. Mamastrovirus 5 isolate JBN/23Q48 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980340.1,"44. Mamastrovirus 5 isolate JBN/23Q47 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,117 bp linear RNA","44. Mamastrovirus 5 isolate JBN/23Q47 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PP980339.1,"45. Mamastrovirus 5 isolate JBN/23Q45 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds","3,043 bp linear RNA","45. Mamastrovirus 5 isolate JBN/23Q45 RNA-dependent RNA polymerase gene, partial cds"," and capsid protein gene, complete cds",
PV983331.1,"46. Bat astrovirus isolate 2259 Non-structural polyprotein 1AB gene, partial cds",951 bp linear RNA,"46. Bat astrovirus isolate 2259 Non-structural polyprotein 1AB gene, partial cds",,
PV793827.1,"47. MAG: Astroviridae sp. isolate AstroviridaeCranefe81 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","7,275 bp linear RNA","47. MAG: Astroviridae sp. isolate AstroviridaeCranefe81 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",,
PV793829.1,"48. MAG: Avastrovirus sp. isolate AstroviridaeGoosefe94 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","7,104 bp linear RNA","48. MAG: Avastrovirus sp. isolate AstroviridaeGoosefe94 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",,
PV793828.1,"49. MAG: Avastrovirus sp. isolate AstroviridaeGoosefe87 non-structural polyprotein-like, RNA-dependent RNA polymerase-like, and capsid protein-like genes, complete sequence","7,416 bp linear RNA","49. MAG: Avastrovirus sp. isolate AstroviridaeGoosefe87 non-structural polyprotein-like, RNA-dependent RNA polymerase-like, and capsid protein-like genes, complete sequence",,
PV793826.1,"50. MAG: Astroviridae sp. isolate AstroviridaeCranefe67 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","7,211 bp linear RNA","50. MAG: Astroviridae sp. isolate AstroviridaeCranefe67 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",,
PV793833.1,"51. MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V2 RNA-dependent RNA polymerase-like gene, complete sequence","3,061 bp linear RNA","51. MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V2 RNA-dependent RNA polymerase-like gene, complete sequence",,
PV793832.1,"52. MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V1 ORF1b gene, complete cds","3,432 bp linear RNA","52. MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V1 ORF1b gene, complete cds",,
PV793831.1,"53. MAG: Astroviridae sp. isolate AstroviridaeGoosefe93 RNA-dependent RNA polymerase-like gene, complete sequence","4,135 bp linear RNA","53. MAG: Astroviridae sp. isolate AstroviridaeGoosefe93 RNA-dependent RNA polymerase-like gene, complete sequence",,
PV793830.1,"54. MAG: Astroviridae sp. isolate AstroviridaeGoosefe90 ORF1b gene, complete cds","3,262 bp linear RNA","54. MAG: Astroviridae sp. isolate AstroviridaeGoosefe90 ORF1b gene, complete cds",,
PV880246.1,"55. Caprine astrovirus isolate G8.5 capsid protein precursor (ORF2) gene, partial cds",521 bp linear RNA,"55. Caprine astrovirus isolate G8.5 capsid protein precursor (ORF2) gene, partial cds",,
PV880245.1,"56. Caprine astrovirus isolate G8.4 capsid protein (ORF2) gene, partial cds",520 bp linear RNA,"56. Caprine astrovirus isolate G8.4 capsid protein (ORF2) gene, partial cds",,
PV880244.1,"57. Caprine astrovirus isolate G8.2 nonstructural protein 1ab (ORF1ab) gene, partial cds; and nonstructural protein 1a (ORF1a) gene, complete cds","3,790 bp linear RNA","57. Caprine astrovirus isolate G8.2 nonstructural protein 1ab (ORF1ab) gene, partial cds"," and nonstructural protein 1a (ORF1a) gene, complete cds",
PV880243.1,"58. Caprine astrovirus isolate G8.1 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds; and capsid protein (ORF2) gene, complete cds","4,187 bp linear RNA","58. Caprine astrovirus isolate G8.1 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds"," and capsid protein (ORF2) gene, complete cds",
PV880242.1,"59. Caprine astrovirus isolate G3.2 capsid protein precursor (ORF2) gene, partial cds","1,167 bp linear RNA","59. Caprine astrovirus isolate G3.2 capsid protein precursor (ORF2) gene, partial cds",,
PV880241.1,"60. Caprine astrovirus isolate G1.6 capsid protein precursor (ORF2) gene, partial cds",592 bp linear RNA,"60. Caprine astrovirus isolate G1.6 capsid protein precursor (ORF2) gene, partial cds",,
PV880240.1,"61. Caprine astrovirus isolate G1.3 capsid protein (ORF2) gene, partial cds","2,099 bp linear RNA","61. Caprine astrovirus isolate G1.3 capsid protein (ORF2) gene, partial cds",,
PV880239.1,"62. Caprine astrovirus isolate G1.2 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds","2,403 bp linear RNA","62. Caprine astrovirus isolate G1.2 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds",,
PV880238.1,"63. Caprine astrovirus isolate G1.1 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds; and capsid protein (ORF2) gene, complete cds","3,835 bp linear RNA","63. Caprine astrovirus isolate G1.1 nonstructural protein 1ab (ORF1ab) and nonstructural protein 1a (ORF1a) genes, partial cds"," and capsid protein (ORF2) gene, complete cds",
PQ421854.1,64. MAG: Astrovirus sp. isolate ML2-CQJ-2 genomic sequence,"6,075 bp linear RNA",64. MAG: Astrovirus sp. isolate ML2-CQJ-2 genomic sequence,,
PQ421853.1,"65. MAG: Astrovirus sp. isolate ML2-CQJ-1 hypothetical protein genes, complete cds","6,100 bp linear RNA","65. MAG: Astrovirus sp. isolate ML2-CQJ-1 hypothetical protein genes, complete cds",,
PQ421852.1,66. MAG: Astrovirus sp. isolate ML1-CQJ genomic sequence,"5,032 bp linear RNA",66. MAG: Astrovirus sp. isolate ML1-CQJ genomic sequence,,
PQ421851.1,"67. MAG: Astrovirus sp. isolate ML2-CQJ-1 hypothetical protein gene, complete cds","1,189 bp linear RNA","67. MAG: Astrovirus sp. isolate ML2-CQJ-1 hypothetical protein gene, complete cds",,
PQ421850.1,"68. MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein, non-structural polyprotein 1AB, and hypothetical protein genes, complete cds","6,768 bp linear RNA","68. MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein, non-structural polyprotein 1AB, and hypothetical protein genes, complete cds",,
PQ421849.1,69. MAG: Astrovirus sp. isolate YL-SCDW genomic sequence,"6,319 bp linear RNA",69. MAG: Astrovirus sp. isolate YL-SCDW genomic sequence,,
PQ421848.1,70. MAG: Astrovirus sp. isolate LS-CWQ genomic sequence,"5,941 bp linear RNA",70. MAG: Astrovirus sp. isolate LS-CWQ genomic sequence,,
PQ421847.1,71. MAG: Astrovirus sp. isolate LS-SCDW-2 genomic sequence,"6,093 bp linear RNA",71. MAG: Astrovirus sp. isolate LS-SCDW-2 genomic sequence,,
PQ421846.1,72. MAG: Astrovirus sp. isolate LQ4-XSQ genomic sequence,"6,085 bp linear RNA",72. MAG: Astrovirus sp. isolate LQ4-XSQ genomic sequence,,
PQ421845.1,73. MAG: Astrovirus sp. isolate FG-DCQY genomic sequence,"6,085 bp linear RNA",73. MAG: Astrovirus sp. isolate FG-DCQY genomic sequence,,
PQ421844.1,74. MAG: Astrovirus sp. isolate FG-HSQ genomic sequence,"6,188 bp linear RNA",74. MAG: Astrovirus sp. isolate FG-HSQ genomic sequence,,
PQ421843.1,75. MAG: Astrovirus sp. isolate SF-HSQ genomic sequence,"6,079 bp linear RNA",75. MAG: Astrovirus sp. isolate SF-HSQ genomic sequence,,
PQ421842.1,76. MAG: Astrovirus sp. isolate SJ-HSQ genomic sequence,"6,065 bp linear RNA",76. MAG: Astrovirus sp. isolate SJ-HSQ genomic sequence,,
PQ421841.1,"77. MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein genes, complete cds","3,641 bp linear RNA","77. MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein genes, complete cds",,
PP942995.1,"78. Avian nephritis virus strain ANV-ORF1a-CTU-TG2 ORF1a gene, partial cds",485 bp linear RNA,"78. Avian nephritis virus strain ANV-ORF1a-CTU-TG2 ORF1a gene, partial cds",,
PP942994.1,"79. Avian nephritis virus strain ANV-ORF1a-CTU-TG1 ORF1a gene, partial cds",485 bp linear RNA,"79. Avian nephritis virus strain ANV-ORF1a-CTU-TG1 ORF1a gene, partial cds",,
PV853945.1,"80. Caprine astrovirus isolate Indiana/2024, complete genome","6,200 bp linear RNA","80. Caprine astrovirus isolate Indiana/2024, complete genome",,
PV847578.1,"81. Mamastrovirus 2 isolate 22SDWH1003-16 capsid protein gene, partial cds","2,331 bp linear RNA","81. Mamastrovirus 2 isolate 22SDWH1003-16 capsid protein gene, partial cds",,
PV843273.1,"82. Human astrovirus isolate S091-2023_1, partial genome","6,436 bp linear RNA","82. Human astrovirus isolate S091-2023_1, partial genome",,
PV838126.1,"83. Astrovirus VA2 isolate CMH-SS011-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",326 bp linear RNA,"83. Astrovirus VA2 isolate CMH-SS011-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838125.1,"84. Astrovirus VA2 isolate CMH-S039-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",326 bp linear RNA,"84. Astrovirus VA2 isolate CMH-S039-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838124.1,"85. Astrovirus MLB2 isolate CMH-SS144-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"85. Astrovirus MLB2 isolate CMH-SS144-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838123.1,"86. Astrovirus MLB2 isolate CMH-SS032-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"86. Astrovirus MLB2 isolate CMH-SS032-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838122.1,"87. Astrovirus MLB2 isolate CMH-S036-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"87. Astrovirus MLB2 isolate CMH-S036-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838121.1,"88. Astrovirus MLB2 isolate CMH-R032-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"88. Astrovirus MLB2 isolate CMH-R032-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838120.1,"89. Astrovirus MLB2 isolate CMH-SS040-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"89. Astrovirus MLB2 isolate CMH-SS040-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838119.1,"90. Astrovirus MLB2 isolate CMH-SS021-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"90. Astrovirus MLB2 isolate CMH-SS021-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838118.1,"91. Astrovirus MLB2 isolate CMH-R012-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"91. Astrovirus MLB2 isolate CMH-R012-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838117.1,"92. Astrovirus MLB2 isolate CMH-S108-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"92. Astrovirus MLB2 isolate CMH-S108-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838116.1,"93. Astrovirus MLB1 isolate CMH-ST070-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"93. Astrovirus MLB1 isolate CMH-ST070-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838115.1,"94. Astrovirus MLB1 isolate CMH-ST056-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"94. Astrovirus MLB1 isolate CMH-ST056-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838114.1,"95. Astrovirus MLB1 isolate CMH-R007-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"95. Astrovirus MLB1 isolate CMH-R007-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838113.1,"96. Astrovirus MLB1 isolate CMH-S092-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"96. Astrovirus MLB1 isolate CMH-S092-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838112.1,"97. Astrovirus MLB1 isolate CMH-R028-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",308 bp linear RNA,"97. Astrovirus MLB1 isolate CMH-R028-21/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838111.1,"98. Human astrovirus 5 isolate CMH-SS007-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"98. Human astrovirus 5 isolate CMH-SS007-23/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838110.1,"99. Human astrovirus 5 isolate CMH-SS065-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"99. Human astrovirus 5 isolate CMH-SS065-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838109.1,"100. Human astrovirus 5 isolate CMH-S066-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"100. Human astrovirus 5 isolate CMH-S066-22/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838108.1,"101. Human astrovirus 4 isolate CMH-ST071-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"101. Human astrovirus 4 isolate CMH-ST071-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838107.1,"102. Human astrovirus 4 isolate CMH-ST023-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"102. Human astrovirus 4 isolate CMH-ST023-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838106.1,"103. Human astrovirus 4 isolate CMH-SS068-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"103. Human astrovirus 4 isolate CMH-SS068-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838105.1,"104. Human astrovirus 4 isolate CMH-SS066-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"104. Human astrovirus 4 isolate CMH-SS066-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838104.1,"105. Human astrovirus 4 isolate CMH-SS042-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"105. Human astrovirus 4 isolate CMH-SS042-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
PV838103.1,"106. Human astrovirus 4 isolate CMH-S156-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",311 bp linear RNA,"106. Human astrovirus 4 isolate CMH-S156-24/THA RNA-dependent RNA polymerase (RdRp) gene, partial cds",,
